,Number of trajectories,AUROC,AUPR,state estimator
28,29,0.9944000000000001,0.9481779015418441,particle filter
29,30,0.9924,0.9413065446609552,particle filter
0,1,0.699288888888889,0.21928073216558525,particle filter
1,2,0.7631555555555555,0.2851345878256941,particle filter
2,3,0.7964444444444444,0.41688788357075013,particle filter
3,4,0.8360888888888889,0.4014320197622856,particle filter
4,5,0.8695999999999999,0.5499671709963093,particle filter
5,6,0.8865333333333334,0.5178034641716127,particle filter
6,7,0.8905333333333334,0.5052419637745791,particle filter
7,8,0.897911111111111,0.5162833104029143,particle filter
8,9,0.928711111111111,0.6319856021599654,particle filter
9,10,0.9562222222222221,0.7206472774932977,particle filter
10,11,0.9620444444444445,0.769361593644743,particle filter
11,12,0.9570666666666666,0.8159959277997855,particle filter
12,13,0.9730666666666666,0.8016384458570556,particle filter
13,14,0.9689777777777777,0.7845271879554739,particle filter
14,15,0.9636888888888888,0.7669720296392525,particle filter
15,16,0.9872,0.9158381512536866,particle filter
16,17,0.9875555555555555,0.9386066242460386,particle filter
17,18,0.9786666666666666,0.8716574994207312,particle filter
18,19,0.9863999999999999,0.8999131157815312,particle filter
19,20,0.9806666666666666,0.8808698889751737,particle filter
20,21,0.9933777777777777,0.955260381282248,particle filter
21,22,0.9960888888888889,0.9685093646785242,particle filter
22,23,0.9964,0.9701523830250438,particle filter
23,24,0.9892444444444445,0.9442921072892871,particle filter
24,25,0.9991555555555555,0.991677561589095,particle filter
25,26,0.9984,0.9882239691186983,particle filter
26,27,0.9992,0.9933858391568022,particle filter
27,28,0.9974222222222222,0.9805582607579291,particle filter
28,29,0.9989777777777777,0.9921703340951766,particle filter
29,30,0.9995111111111111,0.9959216096965102,particle filter
0,1,0.7498222222222223,0.4002670983106602,particle filter
1,2,0.8178666666666666,0.433810277927707,particle filter
2,3,0.8619555555555556,0.557330994751007,particle filter
3,4,0.8505333333333333,0.5894705672666666,particle filter
4,5,0.9227111111111111,0.6896928154484027,particle filter
5,6,0.9697777777777777,0.8170404526208062,particle filter
6,7,0.9739111111111112,0.8982701544407354,particle filter
7,8,0.9779111111111112,0.8835003580092872,particle filter
8,9,0.9769333333333333,0.9007731272683928,particle filter
9,10,0.9802666666666666,0.8903778853077982,particle filter
10,11,0.9840888888888889,0.8933538202451573,particle filter
11,12,0.9944888888888889,0.9601597456831565,particle filter
12,13,0.9910666666666668,0.9424523672750191,particle filter
13,14,0.9986222222222223,0.9871651045018432,particle filter
14,15,0.9968444444444444,0.9747819242384553,particle filter
15,16,0.9971555555555556,0.980402581739308,particle filter
16,17,0.9988444444444444,0.9906105331114965,particle filter
17,18,0.9978222222222222,0.9842531849963269,particle filter
18,19,0.9988888888888888,0.9911420520050055,particle filter
19,20,0.9972444444444444,0.9791455519498355,particle filter
20,21,0.9994222222222222,0.9951957614644112,particle filter
21,22,0.9991111111111111,0.9940481775318823,particle filter
22,23,0.9998666666666667,0.9988191461199866,particle filter
23,24,0.9992444444444445,0.9935031771944093,particle filter
24,25,0.9996444444444444,0.9969805945277644,particle filter
25,26,1.0,1.0,particle filter
26,27,0.9999111111111111,0.9991998399359744,particle filter
27,28,1.0,1.0,particle filter
28,29,0.9994666666666667,0.9960973030142782,particle filter
29,30,1.0,1.0,particle filter
0,1,0.7312444444444444,0.2036076490876125,particle filter
1,2,0.8129333333333333,0.3014065087235833,particle filter
2,3,0.8272,0.3030111125561893,particle filter
3,4,0.8446666666666667,0.3984413167122427,particle filter
4,5,0.8585333333333334,0.3604725822215859,particle filter
5,6,0.8775555555555555,0.3819103379442979,particle filter
6,7,0.9085777777777777,0.5918319754450424,particle filter
7,8,0.9275111111111111,0.59967969404948,particle filter
8,9,0.9159111111111111,0.516311947841919,particle filter
9,10,0.9370666666666667,0.6180965395802968,particle filter
10,11,0.9266666666666667,0.5108614558552949,particle filter
11,12,0.9647111111111112,0.7138360583004191,particle filter
12,13,0.9476444444444445,0.631931228858268,particle filter
13,14,0.9650222222222222,0.7376093484699,particle filter
14,15,0.9556888888888889,0.6474595839450775,particle filter
15,16,0.9530666666666667,0.5889759851579244,particle filter
16,17,0.9804888888888889,0.8348076926459986,particle filter
17,18,0.9712,0.7365736465517556,particle filter
18,19,0.9699111111111111,0.7811570483384522,particle filter
19,20,0.9722666666666666,0.7905964064375667,particle filter
20,21,0.9842666666666667,0.8681793237365187,particle filter
21,22,0.9807999999999999,0.8443277427788525,particle filter
22,23,0.9786222222222223,0.8219847618087854,particle filter
23,24,0.9770666666666666,0.7461748749053589,particle filter
24,25,0.9882222222222222,0.8821685589255039,particle filter
25,26,0.9820888888888888,0.8432885670920922,particle filter
26,27,0.9932,0.9425059137074715,particle filter
27,28,0.9779555555555556,0.8265168992697228,particle filter
28,29,0.9832,0.8507758857234917,particle filter
29,30,0.9908444444444444,0.9027382232348031,particle filter
0,1,0.7896,0.3079233755041057,particle filter
1,2,0.8824000000000001,0.4556868633273518,particle filter
2,3,0.9267555555555556,0.6678815544668921,particle filter
3,4,0.8984888888888889,0.5619330272168321,particle filter
4,5,0.9492444444444444,0.7628302164506242,particle filter
5,6,0.9376444444444444,0.7596474733983982,particle filter
6,7,0.9807555555555556,0.870891258431455,particle filter
7,8,0.9651111111111111,0.8369812790563215,particle filter
8,9,0.9839555555555556,0.8845555542569861,particle filter
9,10,0.9924000000000001,0.9639205650102343,particle filter
10,11,0.9883555555555555,0.9264532994586915,particle filter
11,12,0.9964888888888889,0.9716768442158552,particle filter
12,13,0.9916,0.951670293841486,particle filter
13,14,0.9957777777777778,0.9687079914191135,particle filter
14,15,0.9975555555555555,0.9807978957486878,particle filter
15,16,0.9959111111111111,0.9729012379266855,particle filter
16,17,0.9995555555555555,0.9962843339351417,particle filter
17,18,0.9989777777777777,0.9916209342289412,particle filter
18,19,0.9988888888888889,0.991303941244142,particle filter
19,20,0.9998666666666666,0.9988570391872279,particle filter
20,21,0.9990222222222223,0.9936381718884738,particle filter
21,22,0.9999555555555555,0.9996039215686274,particle filter
22,23,1.0,1.0,particle filter
23,24,1.0,1.0,particle filter
24,25,1.0,1.0,particle filter
25,26,1.0,1.0,particle filter
26,27,1.0,1.0,particle filter
27,28,1.0,1.0,particle filter
28,29,1.0,1.0,particle filter
29,30,1.0,1.0,particle filter
