,Number of trajectories,AUROC,AUPR,prior
29,30,0.9881777777777778,0.8887141731236883,informative prior
0,1,0.7896,0.3079233755041057,informative prior
1,2,0.8293333333333334,0.34333766987134173,informative prior
2,3,0.9171555555555555,0.5997521313994812,informative prior
3,4,0.9319999999999999,0.7186071462037732,informative prior
4,5,0.9326666666666666,0.7031720464603746,informative prior
5,6,0.9393777777777778,0.6878339436257003,informative prior
6,7,0.9830666666666668,0.8913699345955441,informative prior
7,8,0.9816,0.8893703531261256,informative prior
8,9,0.9824888888888889,0.8950036364961923,informative prior
9,10,0.9753333333333334,0.8789212815885263,informative prior
10,11,0.9797777777777777,0.9133389131348065,informative prior
11,12,0.9967111111111111,0.977819965008358,informative prior
12,13,0.9949777777777777,0.9514526394348319,informative prior
13,14,0.9969333333333333,0.9829686303063312,informative prior
14,15,0.9968444444444444,0.9806623244515944,informative prior
15,16,0.9984888888888889,0.9878408321613728,informative prior
16,17,0.9986666666666667,0.9888957661276996,informative prior
17,18,0.9997333333333334,0.9978376623376624,informative prior
18,19,0.9999555555555555,0.9996039215686274,informative prior
19,20,0.9988444444444444,0.9921780997439344,informative prior
20,21,0.9997777777777778,0.9981649831649833,informative prior
21,22,0.9997333333333334,0.9974965548908432,informative prior
22,23,1.0,1.0,informative prior
23,24,1.0,1.0,informative prior
24,25,1.0,1.0,informative prior
25,26,1.0,1.0,informative prior
26,27,1.0,1.0,informative prior
27,28,1.0,1.0,informative prior
28,29,1.0,1.0,informative prior
29,30,1.0,1.0,informative prior
0,1,0.7048888888888889,0.2774005732813992,informative prior
1,2,0.8192888888888888,0.3872488599717587,informative prior
2,3,0.8570222222222222,0.4528920451989248,informative prior
3,4,0.8766222222222222,0.5311940341471939,informative prior
4,5,0.9332,0.6668803522363789,informative prior
5,6,0.8954666666666666,0.7318792475853199,informative prior
6,7,0.9139999999999999,0.6872293074764879,informative prior
7,8,0.9634222222222223,0.7415866839327837,informative prior
8,9,0.9670666666666666,0.8469453445384704,informative prior
9,10,0.9627555555555556,0.8376350176275161,informative prior
10,11,0.9693777777777779,0.8401309634420869,informative prior
11,12,0.9779555555555556,0.8880043406123022,informative prior
12,13,0.9837333333333332,0.8935596981875429,informative prior
13,14,0.9860444444444445,0.9269749340728132,informative prior
14,15,0.9980444444444445,0.9905879661404714,informative prior
15,16,0.9811111111111112,0.9088174801945696,informative prior
16,17,0.9908444444444444,0.956802974139301,informative prior
17,18,0.9945777777777778,0.9699572752227398,informative prior
18,19,0.9965333333333333,0.9775443462628979,informative prior
19,20,0.9952444444444445,0.9716704739026096,informative prior
20,21,0.9996444444444444,0.9970211657390229,informative prior
21,22,0.9991111111111112,0.9926208281251405,informative prior
22,23,0.9994666666666667,0.9960973030142782,informative prior
23,24,0.9996444444444444,0.9968583665594207,informative prior
24,25,0.9993333333333333,0.9947208319312353,informative prior
25,26,0.9999111111111111,0.9991998399359744,informative prior
26,27,1.0,1.0,informative prior
27,28,1.0,1.0,informative prior
28,29,1.0,1.0,informative prior
29,30,1.0,1.0,informative prior
0,1,0.7623111111111112,0.243939884304113,informative prior
1,2,0.7814666666666666,0.27763492117493155,informative prior
2,3,0.8305777777777777,0.32906660992201514,informative prior
3,4,0.8426222222222222,0.41914999018281074,informative prior
4,5,0.8850222222222222,0.47374735331514917,informative prior
5,6,0.8818666666666667,0.5542574971802497,informative prior
6,7,0.9223111111111112,0.5793897814659759,informative prior
7,8,0.9312888888888889,0.6786911847397799,informative prior
8,9,0.9138666666666666,0.5728477681691942,informative prior
9,10,0.9450222222222222,0.7162297637843867,informative prior
10,11,0.9524444444444444,0.771890373594698,informative prior
11,12,0.9725777777777779,0.8050075660000215,informative prior
12,13,0.9518222222222221,0.7001495282661176,informative prior
13,14,0.96,0.7079010299963566,informative prior
14,15,0.9733333333333334,0.8138628695416741,informative prior
15,16,0.9739555555555557,0.8242399528378235,informative prior
16,17,0.9728888888888889,0.8583655581886295,informative prior
17,18,0.9937777777777778,0.9503072996968516,informative prior
18,19,0.9790666666666666,0.8628654860979932,informative prior
19,20,0.9861333333333333,0.9069167602347025,informative prior
20,21,0.985688888888889,0.9147298383510987,informative prior
21,22,0.9877333333333334,0.9481360414272735,informative prior
22,23,0.9959111111111111,0.9712572673167945,informative prior
23,24,0.9907111111111111,0.9469600468105086,informative prior
24,25,0.9900444444444444,0.9543384865742793,informative prior
25,26,0.9939111111111112,0.961421131686307,informative prior
26,27,0.9986222222222222,0.9889982403843478,informative prior
27,28,0.9898666666666667,0.9571894133818579,informative prior
28,29,0.9982222222222221,0.9800692520862071,informative prior
29,30,0.9972888888888889,0.982692994386287,informative prior
0,1,0.7259777777777777,0.24736081625966905,informative prior
1,2,0.7462666666666666,0.22575150020740087,informative prior
2,3,0.869688888888889,0.5114381455560546,informative prior
3,4,0.8983111111111111,0.45118576250881515,informative prior
4,5,0.8745333333333334,0.44691860541762385,informative prior
5,6,0.9097777777777777,0.511170224414706,informative prior
6,7,0.9392888888888888,0.7056031780400419,informative prior
7,8,0.9225777777777777,0.5639778361675185,informative prior
8,9,0.9370666666666666,0.6421125961998001,informative prior
9,10,0.9504888888888888,0.6449994298537989,informative prior
10,11,0.9633333333333333,0.7935057196716678,informative prior
11,12,0.9656,0.7624186605572966,informative prior
12,13,0.963288888888889,0.7562626034838836,informative prior
13,14,0.9729777777777778,0.8273873953937729,informative prior
14,15,0.9730222222222222,0.8326827921402611,informative prior
15,16,0.9810666666666668,0.8648338888647967,informative prior
16,17,0.9768444444444444,0.8318829664780547,informative prior
17,18,0.9799555555555556,0.8778541477564463,informative prior
18,19,0.9864444444444445,0.9275572425235326,informative prior
19,20,0.9875111111111111,0.9114603093683573,informative prior
20,21,0.989111111111111,0.9197996605706664,informative prior
21,22,0.9951555555555556,0.9668687491671513,informative prior
22,23,0.9849333333333333,0.9134509407739839,informative prior
23,24,0.9955111111111111,0.954590098784123,informative prior
24,25,0.9964888888888889,0.9709247845982052,informative prior
25,26,0.9943555555555555,0.9615956912182719,informative prior
26,27,0.9982222222222222,0.9848863702584706,informative prior
27,28,0.9974222222222222,0.9842762955469762,informative prior
28,29,0.9969333333333333,0.9761059126852996,informative prior
29,30,0.9973777777777778,0.9808916291015075,informative prior
0,1,0.7206666666666666,0.21338214013337836,informative prior
1,2,0.7639111111111111,0.22673158524761727,informative prior
2,3,0.8542222222222222,0.43072017678564883,informative prior
3,4,0.8470222222222221,0.39465676436866437,informative prior
4,5,0.8563555555555555,0.36563350606486794,informative prior
5,6,0.8971555555555556,0.5368259159443086,informative prior
6,7,0.8898222222222223,0.48298732885853707,informative prior
7,8,0.9295111111111112,0.538709040170289,informative prior
8,9,0.9438666666666666,0.6673948804765816,informative prior
9,10,0.9338222222222222,0.6172549106067726,informative prior
10,11,0.9407555555555555,0.5627736466784287,informative prior
11,12,0.9423111111111111,0.5961270666331324,informative prior
12,13,0.9636444444444445,0.694715886206372,informative prior
13,14,0.9493777777777778,0.6245948346526505,informative prior
14,15,0.9585333333333333,0.6423585960054502,informative prior
15,16,0.9543555555555555,0.6693369202228875,informative prior
16,17,0.9570666666666667,0.6709623254007584,informative prior
17,18,0.9646222222222223,0.6709157140883463,informative prior
18,19,0.9697777777777778,0.7210598687210277,informative prior
19,20,0.9733777777777778,0.7881005047851886,informative prior
20,21,0.9654222222222222,0.6701710476278135,informative prior
21,22,0.9721333333333334,0.7512241045495117,informative prior
22,23,0.9728888888888888,0.7189782288566856,informative prior
23,24,0.9736888888888889,0.7407477987240261,informative prior
24,25,0.9767111111111111,0.80274294862515,informative prior
25,26,0.9830666666666666,0.8827427180799294,informative prior
26,27,0.9762222222222222,0.8190092736515051,informative prior
27,28,0.9758666666666667,0.7832770424237154,informative prior
28,29,0.986,0.8832257192084569,informative prior
29,30,0.9797777777777777,0.8271109697006664,informative prior
0,1,0.7408,0.2475669654221314,informative prior
1,2,0.8146222222222222,0.4200776415276172,informative prior
2,3,0.8276,0.33374330525279633,informative prior
3,4,0.8670222222222224,0.5041702230318587,informative prior
4,5,0.8688,0.4502299498709736,informative prior
5,6,0.9012,0.548707700723613,informative prior
6,7,0.9119555555555555,0.669843457130662,informative prior
7,8,0.935288888888889,0.6958143269354589,informative prior
8,9,0.9417333333333333,0.6919092502541192,informative prior
9,10,0.9773777777777779,0.8871705701822378,informative prior
10,11,0.9636888888888888,0.8023866747346763,informative prior
11,12,0.9835555555555555,0.8223971059890137,informative prior
12,13,0.9776,0.8510549429245801,informative prior
13,14,0.9863555555555557,0.895212441633318,informative prior
14,15,0.9891555555555556,0.9238733618604648,informative prior
15,16,0.9939555555555556,0.9514639865206911,informative prior
16,17,0.9895555555555555,0.9167527532089629,informative prior
17,18,0.9947111111111111,0.9677277418892024,informative prior
18,19,0.9969333333333333,0.9733459999573633,informative prior
19,20,0.9940444444444444,0.9560171380215914,informative prior
20,21,0.9934666666666667,0.9717246853197767,informative prior
21,22,0.9946666666666667,0.959194083573218,informative prior
22,23,0.9963111111111111,0.9732938004363307,informative prior
23,24,0.9997333333333334,0.9977123854153822,informative prior
24,25,0.9989777777777777,0.9912104444996676,informative prior
25,26,0.9999555555555555,0.9996039215686274,informative prior
26,27,0.9995555555555555,0.9960017318654093,informative prior
27,28,0.9996888888888888,0.9971892860360138,informative prior
28,29,0.9997333333333334,0.9978376623376624,informative prior
29,30,0.9995555555555555,0.9964006842846032,informative prior
0,1,0.7208888888888889,0.2786611012955327,noninformative prior
1,2,0.7288444444444445,0.42345173410934084,noninformative prior
2,3,0.8216888888888889,0.3320282588424198,noninformative prior
3,4,0.9013777777777778,0.5751129340576373,noninformative prior
4,5,0.8306666666666667,0.4960642113757092,noninformative prior
5,6,0.8871999999999999,0.572353625504359,noninformative prior
6,7,0.9110666666666667,0.7091078219061815,noninformative prior
7,8,0.9102666666666667,0.6189324846219157,noninformative prior
8,9,0.9206222222222222,0.6875918892779996,noninformative prior
9,10,0.9628888888888889,0.7947673397290153,noninformative prior
10,11,0.9351555555555555,0.7239059058069065,noninformative prior
11,12,0.9629333333333334,0.8179683691070532,noninformative prior
12,13,0.9878666666666667,0.9250168156800324,noninformative prior
13,14,0.9756444444444444,0.8847623827753335,noninformative prior
14,15,0.9905333333333333,0.9436692758739289,noninformative prior
15,16,0.9682666666666667,0.8004055388700233,noninformative prior
16,17,0.9836,0.8971579888229634,noninformative prior
17,18,0.9894222222222222,0.9299757279703145,noninformative prior
18,19,0.9971111111111111,0.976728764057311,noninformative prior
19,20,0.9992888888888889,0.9939888720531284,noninformative prior
20,21,0.9968888888888889,0.9764749969302013,noninformative prior
21,22,0.9865333333333333,0.9459928251850492,noninformative prior
22,23,0.9901333333333333,0.9491149698454983,noninformative prior
23,24,0.9988,0.9893096871206177,noninformative prior
24,25,0.9971555555555556,0.9813423953508857,noninformative prior
25,26,0.9996,0.9968130992505895,noninformative prior
26,27,0.9932444444444445,0.9654838908011715,noninformative prior
27,28,0.9968888888888889,0.9846099821096989,noninformative prior
28,29,0.9998222222222222,0.9984067311540001,noninformative prior
29,30,0.9991111111111112,0.9923362828451693,noninformative prior
0,1,0.786,0.37129902882270677,noninformative prior
1,2,0.8972444444444445,0.5689032036032734,noninformative prior
2,3,0.9368,0.7467984792015272,noninformative prior
3,4,0.9221777777777778,0.7119337435996475,noninformative prior
4,5,0.9712444444444444,0.8199568952287791,noninformative prior
5,6,0.9648,0.8306941833763863,noninformative prior
6,7,0.9891555555555556,0.9396541179903486,noninformative prior
7,8,0.9773777777777778,0.9166894014369193,noninformative prior
8,9,0.9845777777777778,0.9245100858023255,noninformative prior
9,10,0.9961777777777777,0.9713989010446726,noninformative prior
10,11,0.9956888888888888,0.9734905233468254,noninformative prior
11,12,0.9977777777777778,0.9822495855135128,noninformative prior
12,13,0.9981333333333333,0.9863052428813888,noninformative prior
13,14,0.9995555555555555,0.9962600890006352,noninformative prior
14,15,0.9997333333333334,0.9978376623376624,noninformative prior
15,16,1.0,1.0,noninformative prior
16,17,0.9999111111111111,0.9992232277526396,noninformative prior
17,18,0.9999111111111111,0.9992232277526396,noninformative prior
18,19,0.9998666666666667,0.9988191461199866,noninformative prior
19,20,0.9999111111111111,0.9991998399359744,noninformative prior
20,21,1.0,1.0,noninformative prior
21,22,1.0,1.0,noninformative prior
22,23,1.0,1.0,noninformative prior
23,24,1.0,1.0,noninformative prior
24,25,1.0,1.0,noninformative prior
25,26,1.0,1.0,noninformative prior
26,27,1.0,1.0,noninformative prior
27,28,1.0,1.0,noninformative prior
28,29,1.0,1.0,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.7676444444444445,0.25773988336325937,noninformative prior
1,2,0.7900888888888888,0.38945981134494934,noninformative prior
2,3,0.8613777777777777,0.47703880640503543,noninformative prior
3,4,0.8768444444444444,0.4521857858191977,noninformative prior
4,5,0.9381777777777778,0.6158952545986197,noninformative prior
5,6,0.9396888888888889,0.6225945473610781,noninformative prior
6,7,0.9409333333333333,0.700773261808109,noninformative prior
7,8,0.9570222222222222,0.7750937576363679,noninformative prior
8,9,0.9650222222222222,0.8033412140608529,noninformative prior
9,10,0.9824,0.8758178587427985,noninformative prior
10,11,0.9748444444444444,0.8334402313266495,noninformative prior
11,12,0.9697333333333333,0.8290832625334444,noninformative prior
12,13,0.9833333333333333,0.892053574289668,noninformative prior
13,14,0.9888888888888889,0.9150712271330916,noninformative prior
14,15,0.9964000000000001,0.9671642771525755,noninformative prior
15,16,0.9954666666666666,0.9658498188446853,noninformative prior
16,17,0.9986222222222223,0.9883358604170192,noninformative prior
17,18,0.9975111111111111,0.9811286401971209,noninformative prior
18,19,0.9983555555555556,0.9867693479004302,noninformative prior
19,20,0.9979555555555555,0.9828424431599017,noninformative prior
20,21,0.9986666666666667,0.987427667638026,noninformative prior
21,22,0.9987111111111111,0.9899454887788487,noninformative prior
22,23,0.9995555555555555,0.9964006842846032,noninformative prior
23,24,0.9998222222222223,0.9985045422781273,noninformative prior
24,25,0.9997777777777778,0.9981649831649833,noninformative prior
25,26,1.0,1.0,noninformative prior
26,27,0.9996888888888888,0.9971892860360138,noninformative prior
27,28,1.0,1.0,noninformative prior
28,29,0.9998666666666667,0.9988191461199866,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.6955555555555556,0.19060896226637136,noninformative prior
1,2,0.7264888888888889,0.20329334082970546,noninformative prior
2,3,0.8592444444444445,0.33570913048723816,noninformative prior
3,4,0.8804,0.5140552579285588,noninformative prior
4,5,0.8674666666666666,0.36491890225807294,noninformative prior
5,6,0.8819111111111111,0.487012639903155,noninformative prior
6,7,0.9176,0.5371054864763785,noninformative prior
7,8,0.9228888888888889,0.5902465341383476,noninformative prior
8,9,0.9292,0.5576105920860239,noninformative prior
9,10,0.9500444444444445,0.7369849443181467,noninformative prior
10,11,0.9603111111111111,0.7551019868863398,noninformative prior
11,12,0.9573333333333334,0.7496288720578326,noninformative prior
12,13,0.9662222222222222,0.8075914962856949,noninformative prior
13,14,0.9672888888888889,0.7865320001648151,noninformative prior
14,15,0.9822666666666667,0.8686848174281969,noninformative prior
15,16,0.9816,0.8489869683896423,noninformative prior
16,17,0.9837777777777779,0.8851591422851124,noninformative prior
17,18,0.9783111111111111,0.818828284995017,noninformative prior
18,19,0.9896,0.9291709139094793,noninformative prior
19,20,0.9825333333333334,0.873686242079589,noninformative prior
20,21,0.988488888888889,0.9134507198256301,noninformative prior
21,22,0.9954666666666667,0.9606023406984606,noninformative prior
22,23,0.9921777777777777,0.9370144785285361,noninformative prior
23,24,0.9975555555555555,0.9784143695798172,noninformative prior
24,25,0.9921333333333333,0.9567408814960523,noninformative prior
25,26,0.9979111111111111,0.9823186714164911,noninformative prior
26,27,0.9976888888888888,0.9780219036766084,noninformative prior
27,28,0.9984444444444445,0.9875429311923932,noninformative prior
28,29,0.9970666666666668,0.9746116540788594,noninformative prior
29,30,0.9988,0.9903884061474749,noninformative prior
0,1,0.7693777777777778,0.27853798716645173,noninformative prior
1,2,0.8644000000000001,0.39514563214211085,noninformative prior
2,3,0.8645333333333334,0.43950637225569916,noninformative prior
3,4,0.8617333333333334,0.43256063949110407,noninformative prior
4,5,0.9291555555555555,0.6215570488229599,noninformative prior
5,6,0.9607999999999999,0.8214593655074538,noninformative prior
6,7,0.9668444444444444,0.7567303639157265,noninformative prior
7,8,0.9775555555555555,0.8082484467756547,noninformative prior
8,9,0.974488888888889,0.8087820801306194,noninformative prior
9,10,0.992,0.9342715040883058,noninformative prior
10,11,0.9810222222222222,0.8543932087467201,noninformative prior
11,12,0.9902666666666666,0.9354556509856853,noninformative prior
12,13,0.9903111111111111,0.9304365035834952,noninformative prior
13,14,0.9961333333333333,0.967615051238607,noninformative prior
14,15,0.9888444444444444,0.9220571717280838,noninformative prior
15,16,0.9948888888888888,0.9563159395319354,noninformative prior
16,17,0.9976444444444444,0.9816499628684092,noninformative prior
17,18,0.9930222222222223,0.9647187536612625,noninformative prior
18,19,0.9990666666666667,0.9914750207931409,noninformative prior
19,20,0.9972888888888889,0.9783783067468786,noninformative prior
20,21,0.9988444444444444,0.9892509761652588,noninformative prior
21,22,0.9986666666666667,0.988229424975791,noninformative prior
22,23,0.9980444444444444,0.9850996010332205,noninformative prior
23,24,0.9999111111111111,0.9991998399359744,noninformative prior
24,25,0.9999555555555555,0.9996039215686274,noninformative prior
25,26,0.9995555555555555,0.9964006842846032,noninformative prior
26,27,0.9999555555555555,0.9996039215686274,noninformative prior
27,28,0.9996888888888888,0.9972313680677163,noninformative prior
28,29,1.0,1.0,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.724,0.2670822487487169,noninformative prior
1,2,0.7581777777777777,0.296796642546003,noninformative prior
2,3,0.8323111111111111,0.3726459582590341,noninformative prior
3,4,0.8873333333333333,0.5515150415845916,noninformative prior
4,5,0.832,0.48445015632863037,noninformative prior
5,6,0.9223111111111111,0.6609191540496824,noninformative prior
6,7,0.9329333333333334,0.6613952555061257,noninformative prior
7,8,0.9588888888888889,0.7325574951832127,noninformative prior
8,9,0.9615111111111112,0.8062244648319972,noninformative prior
9,10,0.934711111111111,0.6741792780015513,noninformative prior
10,11,0.9801777777777778,0.84034406176198,noninformative prior
11,12,0.9648444444444445,0.815448501296554,noninformative prior
12,13,0.9729777777777778,0.8608775731401817,noninformative prior
13,14,0.9859555555555555,0.9150183709935824,noninformative prior
14,15,0.9795555555555555,0.8680181907748725,noninformative prior
15,16,0.9938666666666667,0.9496679831046533,noninformative prior
16,17,0.9858222222222222,0.9051903182348856,noninformative prior
17,18,0.9892888888888889,0.92876318329043,noninformative prior
18,19,0.9866222222222222,0.9387496954262038,noninformative prior
19,20,0.9942666666666666,0.9644262185534129,noninformative prior
20,21,0.9987111111111111,0.9905549076494099,noninformative prior
21,22,0.9979555555555555,0.9835376502497948,noninformative prior
22,23,0.998311111111111,0.9890020401429009,noninformative prior
23,24,0.9954222222222222,0.9746329189048629,noninformative prior
24,25,0.998,0.9839041372162266,noninformative prior
25,26,0.9978666666666667,0.9874086968427127,noninformative prior
26,27,0.9982222222222222,0.9902796424843456,noninformative prior
27,28,0.9991555555555555,0.99323039430724,noninformative prior
28,29,0.9998222222222222,0.9984310708898945,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.8288,0.3532381587779732,noninformative prior
1,2,0.867111111111111,0.4181034527758183,noninformative prior
2,3,0.9336444444444445,0.6213544379916439,noninformative prior
3,4,0.9556444444444444,0.773595240091055,noninformative prior
4,5,0.9654222222222223,0.7947965315319794,noninformative prior
5,6,0.9613333333333333,0.7260454013736192,noninformative prior
6,7,0.9840888888888889,0.8870467309249148,noninformative prior
7,8,0.9848,0.8693022641996997,noninformative prior
8,9,0.9916888888888888,0.9234016798598986,noninformative prior
9,10,0.9917777777777778,0.930704409959258,noninformative prior
10,11,0.9928,0.9476334862931091,noninformative prior
11,12,0.9988444444444444,0.9898625918120024,noninformative prior
12,13,0.9928444444444444,0.9451575723932573,noninformative prior
13,14,0.9945333333333334,0.9614030366974636,noninformative prior
14,15,0.9962222222222222,0.9615475697058209,noninformative prior
15,16,0.9998222222222222,0.9983663256792079,noninformative prior
16,17,0.9995555555555555,0.9966384180790961,noninformative prior
17,18,0.9996888888888888,0.9970470599413483,noninformative prior
18,19,0.9996444444444444,0.9965872290745407,noninformative prior
19,20,0.9992,0.994322062251474,noninformative prior
20,21,0.9997777777777778,0.99798563186322,noninformative prior
21,22,0.9998222222222222,0.9984529575545749,noninformative prior
22,23,0.9999111111111111,0.9992232277526396,noninformative prior
23,24,0.9998666666666666,0.9988570391872279,noninformative prior
24,25,1.0,1.0,noninformative prior
25,26,1.0,1.0,noninformative prior
26,27,1.0,1.0,noninformative prior
27,28,1.0,1.0,noninformative prior
28,29,1.0,1.0,noninformative prior
29,30,1.0,1.0,noninformative prior
0,1,0.7756222222222222,0.23964512950449318,noninformative prior
1,2,0.841288888888889,0.35716657907508836,noninformative prior
2,3,0.8786222222222222,0.44075470453313276,noninformative prior
3,4,0.8866666666666667,0.35401191105340596,noninformative prior
4,5,0.915911111111111,0.5415633014544308,noninformative prior
5,6,0.9323555555555556,0.6009179785407903,noninformative prior
6,7,0.9069333333333334,0.5339681270918131,noninformative prior
7,8,0.9398222222222221,0.6462276979556166,noninformative prior
8,9,0.9556,0.680642082759322,noninformative prior
9,10,0.9707111111111111,0.8180849670613008,noninformative prior
10,11,0.9715555555555555,0.8069831891702836,noninformative prior
